iso_code,country,2022_last_updated,2020_population,density_sq_km,growth_rate,world_%,rank
GIB,Gibraltar,"32,649","32,709","5,442/sq_km",-0.0006,0.00%,219
MAF,Saint Martin,"31,876","32,553",600/sq_km,-0.0049,0.00%,220
PLW,Palau,"18,055","17,972",39/sq_km,0.0017,0.00%,222
COK,Cook Islands,"17,096","17,029",72/sq_km,0.0005,0.00%,223
AIA,Anguilla,"15,857","15,585",174/sq_km,0.0066,0.00%,224
NRU,Nauru,"12,753","12,315",603/sq_km,0.0125,0.00%,225
TUV,Tuvalu,"11,397","11,069",435/sq_km,0.0096,0.00%,227
BL,Saint Barthelemy,"10,967","10,681",522/sq_km,0.0098,0.00%,228
MSR,Montserrat,"4,390","4,500",43/sq_km,-0.0061,0.00%,230
FLK,Falkland Islands,"3,780","3,747",0/sq_km,0.0043,0.00%,231
NIU,Niue,"1,934","1,942",7/sq_km,-0.0015,0.00%,232
TKL,Tokelau,"1,871","1,827",156/sq_km,0.0119,0.00%,233
VAT,Vatican City,510,520,510/sq_km,-0.002,0.00%,234
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
